Sequence in Dataset,Name,Label,Type,Level,Width,Decimals,Domain,Value scheme,Missing Scheme,Link to values,
450,EARNHRBONUSPPP,"Hourly earnings including bonuses for wage and salary earners, PPP corrected $US (derived)",Numeric/floating point,Ratio,15,2,Background questionnaire (derived),,"Derived (""not stated""  and ""valid skip"")",Values,
451,EARNMTH,Monthly earnings excluding bonuses for wage and salary earners (derived),Numeric/floating point,Ratio,15,2,Background questionnaire (derived),,"Derived (""not stated""  and ""valid skip"")",Values,
452,EARNMTHPPP,"Monthly earnings excluding bonuses for wage and salary earners, PPP corrected $US (derived)",Numeric/floating point,Ratio,15,2,Background questionnaire (derived),,"Derived (""not stated""  and ""valid skip"")",Values,
453,EARNMTHSELFPPP,"Monthly earnings for self-employed, PPP corrected $US (derived)",Numeric/floating point,Ratio,15,2,Background questionnaire (derived),,"Derived (""not stated""  and ""valid skip"")",Values,
454,EARNMTHBONUS,Monthly earnings including bonuses for wage and salary earners (derived),Numeric/floating point,Ratio,15,2,Background questionnaire (derived),,"Derived (""not stated""  and ""valid skip"")",Values,
455,EARNMTHALL,Monthly earnings including bonuses for wage and salary earners and self-employed (derived),Numeric/floating point,Ratio,15,2,Background questionnaire (derived),,"Derived (""not stated""  and ""valid skip"")",Values,
456,EARNMTHALLDCL,"Monthly earnings including bonuses for wage and salary earners and self-employed, in deciles (derived)",Integer,Ordinal,2,0,Background questionnaire (derived),Derived - Decile,"Derived (""not stated""  and ""valid skip"")",Values,
457,EARNMTHALLPPP,"Monthly earnings including bonuses for wage and salary earners and self-employed, PPP corrected $US (derived)",Numeric/floating point,Ratio,15,2,Background questionnaire (derived),,"Derived (""not stated""  and ""valid skip"")",Values,
458,EARNMTHBONUSPPP,"Monthly earnings including bonuses for wage and salary earners, PPP corrected $US (derived)",Numeric/floating point,Ratio,15,2,Background questionnaire (derived),,"Derived (""not stated""  and ""valid skip"")",Values,
459,EARNFLAG,Earnings including bonuses reporting method (derived),Integer,Nominal,1,0,Background questionnaire (derived),Derived - EARNFLAG,"Derived (""Neither reported nor imputed"")",Values,
460,LEARNATWORK,Index of learning at work (derived),Numeric/floating point,Scale,10,5,Background questionnaire (derived),,"Cognitive (""valid Skip"" and ""all zero response"")",Values,
461,LEARNATWORK_WLE_CA,"Index of learning at work, categorised WLE (derived)",Integer,Ordinal,1,0,Background questionnaire (derived),Derived - Quintile,"Cognitive (""valid skip"" and ""not stated"")",Values,
462,READYTOLEARN,Index of readiness to learn (derived),Numeric/floating point,Scale,10,5,Background questionnaire (derived),,"Cognitive (""valid Skip"" and ""all zero response"")",Values,
463,READYTOLEARN_WLE_CA,"Index of readiness to learn, categorised WLE (derived)",Integer,Ordinal,1,0,Background questionnaire (derived),Derived - Quintile,"Cognitive (""valid skip"" and ""not stated"")",Values,
464,ICTHOME,Index of use of ICT skills at home (derived),Numeric/floating point,Scale,10,5,Background questionnaire (derived),,"Cognitive (""valid Skip"" and ""all zero response"")",Values,
465,ICTHOME_WLE_CA,"Index of use of ICT skills at home, categorised WLE (derived)",Integer,Ordinal,1,0,Background questionnaire (derived),Derived - Quintile,"Cognitive (""valid skip"" and ""not stated"")",Values,
466,ICTWORK,Index of use of ICT skills at work (derived),Numeric/floating point,Scale,10,5,Background questionnaire (derived),,"Cognitive (""valid Skip"" and ""all zero response"")",Values,
467,ICTWORK_WLE_CA,"Index of use of ICT skills at work, categorised WLE (derived)",Integer,Ordinal,1,0,Background questionnaire (derived),Derived - Quintile,"Cognitive (""valid skip"" and ""not stated"")",Values,
468,INFLUENCE,Index of use of influencing skills at work (derived),Numeric/floating point,Scale,10,5,Background questionnaire (derived),,"Cognitive (""valid Skip"" and ""all zero response"")",Values,
469,INFLUENCE_WLE_CA,"Index of use of influencing skills at work, categorised WLE (derived)",Integer,Ordinal,1,0,Background questionnaire (derived),Derived - Quintile,"Cognitive (""valid skip"" and ""not stated"")",Values,
470,NUMHOME,Index of use of numeracy skills at home (basic and advanced - derived),Numeric/floating point,Scale,10,5,Background questionnaire (derived),,"Cognitive (""valid Skip"" and ""all zero response"")",Values,
471,NUMHOME_WLE_CA,"Index of use of numeracy skills at home (basic and advanced), categorised WLE (derived)",Integer,Ordinal,1,0,Background questionnaire (derived),Derived - Quintile,"Cognitive (""valid skip"" and ""not stated"")",Values,
472,NUMWORK,Index of use of numeracy skills at work (basic and advanced - derived),Numeric/floating point,Scale,10,5,Background questionnaire (derived),,"Cognitive (""valid Skip"" and ""all zero response"")",Values,
473,NUMWORK_WLE_CA,"Index of use of numeracy skills at work (basic and advanced), categorised WLE (derived)",Integer,Ordinal,1,0,Background questionnaire (derived),Derived - Quintile,"Cognitive (""valid skip"" and ""not stated"")",Values,
474,PLANNING,Index of use of planning skills at work (derived),Numeric/floating point,Scale,10,5,Background questionnaire (derived),,"Cognitive (""valid Skip"" and ""all zero response"")",Values,
475,PLANNING_WLE_CA,"Index of use of planning skills at work, categorised WLE (derived)",Integer,Ordinal,1,0,Background questionnaire (derived),Derived - Quintile,"Cognitive (""valid skip"" and ""not stated"")",Values,
476,READHOME,Index of use of reading skills at home (prose and document texts - derived),Numeric/floating point,Scale,10,5,Background questionnaire (derived),,"Cognitive (""valid Skip"" and ""all zero response"")",Values,
477,READHOME_WLE_CA,"Index of use of reading skills at home (prose and document texts), categorised WLE (derived)",Integer,Ordinal,1,0,Background questionnaire (derived),Derived - Quintile,"Cognitive (""valid skip"" and ""not stated"")",Values,
478,READWORK,Index of use of reading skills at work (prose and document texts - derived),Numeric/floating point,Scale,10,5,Background questionnaire (derived),,"Cognitive (""valid Skip"" and ""all zero response"")",Values,
479,READWORK_WLE_CA,"Index of use of reading skills at work (prose and document texts), categorised WLE (derived)",Integer,Ordinal,1,0,Background questionnaire (derived),Derived - Quintile,"Cognitive (""valid skip"" and ""not stated"")",Values,
480,TASKDISC,Index of use of task discretion at work (derived),Numeric/floating point,Scale,10,5,Background questionnaire (derived),,"Cognitive (""valid Skip"" and ""all zero response"")",Values,
481,TASKDISC_WLE_CA,"Index of use of task discretion at work, categorised WLE (derived)",Integer,Ordinal,1,0,Background questionnaire (derived),Derived - Quintile,"Cognitive (""valid skip"" and ""not stated"")",Values,
482,WRITHOME,Index of use of writing skills at home (derived),Numeric/floating point,Scale,10,5,Background questionnaire (derived),,"Cognitive (""valid Skip"" and ""all zero response"")",Values,
483,WRITHOME_WLE_CA,"Index of use of writing skills at home, categorised WLE (derived)",Integer,Ordinal,1,0,Background questionnaire (derived),Derived - Quintile,"Cognitive (""valid skip"" and ""not stated"")",Values,
484,WRITWORK,Index of use of writing skills at work (derived),Numeric/floating point,Scale,10,5,Background questionnaire (derived),,"Cognitive (""valid Skip"" and ""all zero response"")",Values,
485,WRITWORK_WLE_CA,"Index of use of writing skills at work, categorised WLE (derived)",Integer,Ordinal,1,0,Background questionnaire (derived),Derived - Quintile,"Cognitive (""valid skip"" and ""not stated"")",Values,
486,C301C05S,CLC / 301 - SGIH (Scored Response),Integer,Nominal,1,0,Literacy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
487,C301C05T,CLC / 301 - SGIH (Timing),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
488,C301C05F,CLC / 301 - SGIH (Timing First Action),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
489,C301C05A,CLC / 301 - SGIH (Number of Actions),Integer,Ratio,4,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
490,C300C02S,CLC / 300 - Employment Advertisement (Scored Response),Integer,Nominal,1,0,Literacy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
491,C300C02T,CLC / 300 - Employment Advertisement (Timing),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
492,C300C02F,CLC / 300 - Employment Advertisement (Timing First Action),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
493,C300C02A,CLC / 300 - Employment Advertisement (Number of Actions),Integer,Ratio,4,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
494,D302C02S,CLC / 302 - Election Results (Scored Response),Integer,Nominal,1,0,Literacy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
495,D302C02T,CLC / 302 - Election Results (Timing),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
496,D302C02F,CLC / 302 - Election Results (Timing First Action),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
497,D302C02A,CLC / 302 - Election Results (Number of Actions),Integer,Ratio,4,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
498,C600C04S,CNC / 600 - Election results (Scored Response),Integer,Nominal,1,0,Numeracy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
499,C600C04T,CNC / 600 - Election results (Timing),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
500,C600C04F,CNC / 600 - Election results (Timing First Action),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
501,C600C04A,CNC / 600 - Election results (Number of Actions),Integer,Ratio,4,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
502,C601C06S,CNC / 601 - Bottles (Scored Response),Integer,Nominal,1,0,Numeracy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
503,C601C06T,CNC / 601 - Bottles (Timing),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
504,C601C06F,CNC / 601 - Bottles (Timing First Action),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
505,C601C06A,CNC / 601 - Bottles (Number of Actions),Integer,Ratio,4,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
506,E645001S,CNC / 645 - Airport Timetable (Scored Response),Integer,Nominal,1,0,Numeracy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
507,E645001T,CNC / 645 - Airport Timetable (Timing),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
508,E645001F,CNC / 645 - Airport Timetable (Timing First Action),Integer,Ratio,8,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
509,E645001A,CNC / 645 - Airport Timetable (Number of Actions),Integer,Ratio,4,0,Numeracy (computer),,"Cognitive (""not reached"")",Values,
510,D311701S,CL / 311 - Dutch Women (Scored Response),Integer,Nominal,1,0,Literacy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
511,D311701T,CL / 311 - Dutch Women (Timing),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
512,D311701F,CL / 311 - Dutch Women (Timing First Action),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
513,D311701A,CL / 311 - Dutch Women (Number of Actions),Integer,Ratio,4,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
514,C308120S,CL / 308 - Baltic Stock Market (Scored Response),Integer,Nominal,1,0,Literacy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
515,C308120T,CL / 308 - Baltic Stock Market (Timing),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
516,C308120F,CL / 308 - Baltic Stock Market (Timing First Action),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
517,C308120A,CL / 308 - Baltic Stock Market (Number of Actions),Integer,Ratio,4,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
518,E321001S,CL / 321 - Internet Poll (Scored Response),Integer,Nominal,1,0,Literacy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
519,E321001T,CL / 321 - Internet Poll (Timing),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
520,E321001F,CL / 321 - Internet Poll (Timing First Action),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
521,E321001A,CL / 321 - Internet Poll (Number of Actions),Integer,Ratio,4,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
522,E321002S,CL / 321 - Internet Poll (Scored Response),Integer,Nominal,1,0,Literacy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
523,E321002T,CL / 321 - Internet Poll (Timing),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
524,E321002F,CL / 321 - Internet Poll (Timing First Action),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
525,E321002A,CL / 321 - Internet Poll (Number of Actions),Integer,Ratio,4,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
526,C305215S,CL / 305 - TMN AntiTheft (Scored Response),Integer,Nominal,1,0,Literacy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
527,C305215T,CL / 305 - TMN AntiTheft (Timing),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
528,C305215F,CL / 305 - TMN AntiTheft (Timing First Action),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
529,C305215A,CL / 305 - TMN AntiTheft (Number of Actions),Integer,Ratio,4,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
530,C305218S,CL / 305 - TMN AntiTheft (Scored Response),Integer,Nominal,1,0,Literacy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
531,C305218T,CL / 305 - TMN AntiTheft (Timing),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
532,C305218F,CL / 305 - TMN AntiTheft (Timing First Action),Integer,Ratio,8,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
533,C305218A,CL / 305 - TMN AntiTheft (Number of Actions),Integer,Ratio,4,0,Literacy (computer),,"Cognitive (""not reached"")",Values,
534,C308117S,CL / 308 - Baltic Stock Market (Scored Response),Integer,Nominal,1,0,Literacy (computer),Cognitive item scoring,"Cognitive (""not reached"")",Values,
